Fecha,Producto,Cantidad,Precio Unitario,Total
2025-12-01,Escritorio,1,250,250
2025-12-02,L치mpara LED,4,30,120
2025-12-03,Mochila,3,45,135
2025-12-04,Parlante BT,2,90,180
2025-12-05,Drone,1,500,500
2025-12-06,Consola Gaming,2,400,800
2025-12-07,C치mara DSLR,1,750,750
2025-12-08,Smart Bulb,6,20,120
2025-12-09,Disco Externo,2,110,220
2025-12-10,Teclado Mec치nico,3,70,210
2025-12-11,Mouse Gamer,5,35,175
2025-12-12,Monitor Curvo,1,320,320
2025-12-13,Silla Oficina,2,150,300
2025-12-14,Router Mesh,2,180,360
2025-12-15,Auriculares BT,4,60,240
2025-12-16,SSD 1TB,2,120,240
2025-12-17,Tablet Gr치fica,1,200,200
2025-12-18,Proyector Mini,1,350,350
2025-12-19,Smartwatch Pro,2,280,560
2025-12-20,Televisor 4K,1,1100,1100
